Address,Balance
kujira1se950jg29jjhsu5ksd82kkj0dcv5rq6gzux9l7,617788
kujira1hw7p8jvxdr79ktfgf80lw4dgf9sw84lkymlf0p,956
kujira1h4pj6gcj3sczelgr9lzrjfurtk6qul2hx5t53r,44586299
kujira1069uf46yqdky08w2p8de9qks2vq2rt339rxzsf,236177
kujira1048q2cp5k5wma276tqvka0znewagx83xa7pr2p,463198
kujira1ed0tmz9nvy0p3gn9cussuf456w0mjztt9kygfs,536131
kujira1ears7h20vdxtzt3e7tth2ypuehw2mr4gwjj4tl,528588
kujira1m5pck54rdkm0u4cx0rxut3mjh3g9r5gc7pezzf,68008
kujira1unnds5y64k5h4zmc8erxcylpzu6qy2t23l8cj5,2265709
kujira1g2fw2rlthtplle950cmg5kk48aphlvfgmrgju2,272691
kujira13725xd2z7w4ws5c6trgwrma5fnej7ceft9fdsy,168439
kujira1ezqr38uj4caxkw9a0tkh8jtxps8t5yhndcraws,731712
kujira1m3czdp38wr568v9kpyx2pgkz604q9r4rtltsy7,90079
kujira1ua7nf4j7jpgyw280p3meu5sxs4rmhfykzjvhav,316306
kujira13rsmslfcf9hs4gm5f69njhkqpmknwgada8t858,1079763
kujira13mtu438nutjmhj2700sswj43pmcqzduxyk80za,587344
kujira15t7073yxk5dua42mxmx09q8hmu358lms7ce0w7,57513
kujira14z0v6pn7eshxwxmkyzsf7em2j6s0hp3p6afnn5,539881
kujira16zs39ld2d4ccsmj9087gfm6agcklh3hztrmptr,1653794
kujira1ay3xl806a5pqnfevfrj3d823x37n8emedl20vy,537251838
kujira1alaaxsxksgkvdmx8pj0gnsyxjefqj2cxqlw6re,1498221
kujira175wl7hjayaypd9xzczrsa45nmg37rc34g9kss3,158676
kujira1tnnhrqpm8rxj7xja5jcu2vmlv2yxz5nam6v58r,221646
kujira13s7srzsxjxracxawg7k03gktpegpl6qwzapgx4,1877486
kujira1gygzahvwxkrsapf8zxmktcvtvj749md09l3pr8,34435412
kujira1wt5sux5uuu09s305atvyd209ehkhm7ca2qqu8n,413133
kujira1hmdyt5tm6p2v68p2yxpxk4j2vkvvre8464r5y6,3
kujira1mgsagk477eex0sw6pd3cefwy4sex6rvyvyp35p,577904
kujira1askstu6vgmsund8z8vtadpaxv2n8vanv6lhvkl,120370
kujira1xajft3cjluhtchzs2ya39rzqnz22cqc67xcjm2,917427
kujira1yw9gtcvzvcl4s2fyehjkczclw3wz7j63tkl2g4,459659
kujira1f04hs6naf5f6qef0n76elxp8v6mllcwcck3cpr,128940
kujira1s78hd2a7claj5xqcy2zzyc9sw5e9wvkhnsz3q7,10467095
kujira1nvrz75nvlvv9redllux7dc9xeuvp6nhnhkpjyw,16361
kujira14gxvjwtmkjwy2sa2cng4m96w4gsus3kxfnuy04,1067639
kujira1z4q5t0har9kpuk78gvdwqtp5ynh2h9gqxlqny5,63681
kujira1h3w7un8ecv7nha39l2zr08676yyzha66u74fnm,15920949
kujira1hewe4g0jan5xkcsh84l34q7e5tcnyzx78erjz4,523345
kujira1cg0mctes5l9cjsqaytjlk8v9g3lr09xcuy4ag5,23899
kujira17ksgnsazw4a74sjx9nd29hhu0s7kpj07y8w98f,3154226
kujira127ng5j0kwknxgvysac920v86rkn3kqdexpsltu,1648201
